""	"colony"	"timepoint"	"site"	"coral.species"	"input"	"filtered"	"denoised"	"merged"	"nonchim"
"CN037-2"	"CN037"	"Initial"	"Looe Key Inshore"	"Colpophyllia natans"	"15006"	" 9627"	" 8908"	" 3771"	" 3665"
"CN037-3"	"CN037"	"Initial"	"Looe Key Inshore"	"Colpophyllia natans"	"17956"	"10238"	" 9327"	" 3372"	" 3311"
"CN037-4"	"CN037"	"2-month"	"Looe Inshore"	"Colpophyllia natans"	"23430"	"11607"	"11283"	"10983"	"10983"
"CN037-5"	"CN037"	"2-month"	"Looe Inshore"	"Colpophyllia natans"	"17011"	"10301"	" 9940"	" 9533"	" 9533"
"CN037-6"	"CN037"	"2-month"	"Looe Inshore"	"Colpophyllia natans"	"21861"	"12713"	"12395"	"11953"	"11953"
"CN038-1"	"CN038"	"Initial"	"Looe Key Inshore"	"Colpophyllia natans"	"10630"	" 6763"	" 6301"	" 3252"	" 3237"
"CN038-2"	"CN038"	"Initial"	"Looe Key Inshore"	"Colpophyllia natans"	" 8663"	" 4088"	" 3867"	" 3776"	" 3776"
"CN038-3"	"CN038"	"Initial"	"Looe Key Inshore"	"Colpophyllia natans"	"11365"	" 6544"	" 1581"	" 1243"	" 1243"
"CN038-4"	"CN038"	"2-month"	"Looe Inshore"	"Colpophyllia natans"	"24501"	"13654"	"12903"	"11408"	"11408"
"CN038-5"	"CN038"	"2-month"	"Looe Inshore"	"Colpophyllia natans"	"16465"	" 9920"	" 9431"	" 8611"	" 8611"
"CN038-6"	"CN038"	"2-month"	"Looe Inshore"	"Colpophyllia natans"	"15570"	" 8887"	" 8314"	" 7597"	" 7597"
"CN041-1"	"CN041"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	" 8483"	" 4511"	" 4430"	" 4419"	" 4419"
"CN041-2"	"CN041"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	"11624"	" 6195"	" 5575"	"  764"	"  764"
"CN041-3"	"CN041"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	" 9157"	" 5683"	" 5613"	" 5600"	" 5600"
"CN041-4"	"CN041"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"14858"	" 9171"	" 8377"	" 2763"	" 2759"
"CN041-5"	"CN041"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"22245"	"12324"	"11937"	"11480"	"11480"
"CN041-6"	"CN041"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"27955"	"16063"	"14882"	" 2045"	" 2045"
"CN042-1"	"CN042"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	"11534"	" 5173"	" 5102"	" 5087"	" 5087"
"CN042-2"	"CN042"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	" 8538"	" 4673"	" 4617"	" 4611"	" 4611"
"CN042-3"	"CN042"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	" 7125"	" 3411"	" 3372"	" 3372"	" 3372"
"CN042-4"	"CN042"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"15919"	" 9622"	" 9194"	" 8815"	" 8815"
"CN042-5"	"CN042"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"18519"	" 9978"	" 9545"	" 1912"	" 1912"
"CN042-6"	"CN042"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"17107"	"10577"	" 9987"	" 8725"	" 8725"
"CN043-1"	"CN043"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	"16972"	" 9461"	" 9330"	" 9296"	" 9296"
"CN043-2"	"CN043"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	" 6976"	" 3179"	" 3135"	" 3131"	" 3131"
"CN043-3"	"CN043"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	" 7721"	" 4410"	" 4359"	" 4353"	" 4353"
"CN043-4"	"CN043"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"21795"	"11858"	"11149"	" 9526"	" 9526"
"CN043-5"	"CN043"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"13094"	" 8390"	" 7713"	" 2733"	" 2704"
"CN043-6"	"CN043"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"21938"	"11449"	"10965"	" 1332"	" 1332"
"CN044-1"	"CN044"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	"12091"	" 6260"	" 6200"	" 6191"	" 6191"
"CN044-4"	"CN044"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"25773"	"16657"	"15852"	" 3026"	" 3026"
"CN044-5"	"CN044"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"21725"	"14335"	" 9036"	" 6553"	" 6531"
"CN044-6"	"CN044"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"21812"	"14264"	"13561"	" 4572"	" 4507"
"CN045-1"	"CN045"	"Initial"	"Pickles Patch"	"Colpophyllia natans"	"17936"	" 9602"	" 9228"	" 3014"	" 2978"
"CN045-4"	"CN045"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"19127"	"11703"	"11234"	"10198"	"10198"
"CN045-5"	"CN045"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"23510"	"14216"	"13237"	" 3057"	" 3014"
"CN045-6"	"CN045"	"2-month"	"Pickles Patch"	"Colpophyllia natans"	"24601"	"13162"	"12875"	"12439"	"12439"
"DL044-1"	"DL044"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"10034"	" 5185"	" 4848"	"  591"	"  591"
"DL044-2"	"DL044"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"14835"	" 7395"	"  737"	"  602"	"  602"
"DL044-4"	"DL044"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"16852"	" 8710"	" 8615"	" 8500"	" 8498"
"DL044-5"	"DL044"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"18058"	" 8442"	" 8336"	" 8260"	" 8260"
"DL044-6"	"DL044"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"15891"	" 9927"	" 9755"	" 9495"	" 9495"
"DL045-1"	"DL045"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"16534"	" 9897"	" 9257"	" 2430"	" 2430"
"DL045-2"	"DL045"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"14069"	" 8437"	" 7321"	" 5824"	" 5824"
"DL045-3"	"DL045"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"12461"	" 6784"	" 2254"	" 1593"	" 1582"
"DL045-4"	"DL045"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"11095"	" 5940"	" 5761"	" 5576"	" 5576"
"DL045-5"	"DL045"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"18328"	" 9312"	" 9113"	" 8966"	" 8966"
"DL045-6"	"DL045"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"16642"	" 9399"	" 9271"	" 9132"	" 9132"
"DL046-1"	"DL046"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"11148"	" 6018"	" 5706"	"  855"	"  833"
"DL046-2"	"DL046"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"16152"	" 9336"	" 8944"	" 1780"	" 1756"
"DL046-3"	"DL046"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"15390"	" 8681"	" 8199"	" 1274"	" 1274"
"DL046-4"	"DL046"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"19440"	" 9704"	" 9493"	" 9213"	" 9213"
"DL046-5"	"DL046"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"16025"	" 9848"	" 9187"	" 7654"	" 7654"
"DL046-6"	"DL046"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"12948"	" 6709"	" 6614"	" 6545"	" 6541"
"DL047-2"	"DL047"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	" 9063"	" 4485"	" 4398"	" 4350"	" 4350"
"DL047-3"	"DL047"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"12964"	" 6698"	" 6563"	" 6425"	" 6425"
"DL047-4"	"DL047"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"20237"	"14139"	"13069"	" 7519"	" 7476"
"DL047-5"	"DL047"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"24551"	"15513"	"14801"	" 5710"	" 5539"
"DL047-6"	"DL047"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"23228"	"12374"	"12158"	"11971"	"11971"
"DL049-1"	"DL049"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"15377"	" 8065"	" 7239"	" 1182"	" 1182"
"DL049-2"	"DL049"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"12548"	" 6587"	" 2317"	" 1773"	" 1773"
"DL049-3"	"DL049"	"Initial"	"Marathon"	"Diploria labyrinthiformis"	"13929"	" 7830"	" 7135"	" 1880"	" 1880"
"DL049-4"	"DL049"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"21717"	"12185"	"11993"	" 1714"	" 1714"
"DL049-5"	"DL049"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"17559"	" 9476"	" 8856"	" 1395"	" 1395"
"DL049-6"	"DL049"	"2-month"	"West Turtle"	"Diploria labyrinthiformis"	"17200"	" 9925"	" 9760"	" 9570"	" 9570"
